[W 231204 01:30:11 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[E 231204 01:30:12 smartWebSocketV2:212] Error occurred during subscribe: socket is already closed.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:21 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:22 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 231204 01:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 231204 01:52:48 smartWebSocketV2:212] Error occurred during subscribe: 'NoneType' object has no attribute 'send'
